rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
181,"spotify:track:5yvVYFDUpbnjcnRBgjwTzM","Tame Impala, JENNIE","Dracula - JENNIE Remix","Columbia",173,173,3,"172458"
182,"spotify:track:7jLSThU5Kg1RWt19Leiaxm","RPT MCK, Trung Trần","Chìm Sâu","N0L4B3L",1,185,217,"172421"
183,"spotify:track:55K3e7BGewGDUJ4ZQwkh7M","Only C","Người Đáng Thương Là Anh","OnlyC Production",165,168,14,"170801"
184,"spotify:track:0b61A7v9agI08BG21jJPQ9","BTS","they don’t know ’bout us","BIGHIT MUSIC",16,152,5,"169648"
185,"spotify:track:50cmxP6KlnQA9IG3q5ckKD","Chillies","Mascara","WM Vietnam",3,164,224,"169588"
186,"spotify:track:0lYBSQXN6rCTvUZvg9S0lU","DJ Snake, Justin Bieber","Let Me Love You","DJ Snake Def Jam",176,-1,14,"169568"
187,"spotify:track:2ppLwHSMgDGEQ5c8o6nAX2","Low G","Simp Gái 808","M Music Records",9,163,132,"169330"
188,"spotify:track:5VGOYjxkEaf19LoRPIolD2","The Wind, Dangrangto","Anh Muốn Nhìn Thấy Em","M Music Records",77,133,71,"169133"
189,"spotify:track:2SykQzXuFSeprST1uDjj1m","AMEE","trời giấu trời mang đi","Yin Yang Media",52,187,84,"168761"
190,"spotify:track:498g7npirihKT5MPdVSfb0","Hoàng Dũng","Phonecert","CAM, LIRICO",137,181,18,"168677"
191,"spotify:track:5l1Opd9JCaSfH6jyxDM3pN","RPT MCK","Dạo Bước HongKong 1999","IC Music",191,-1,1,"168570"
192,"spotify:track:1UhQ0VwKq2PGnLiAZOJYV1","Binz","Em","SS LABEL",4,198,26,"166764"
193,"spotify:track:1uiqiUzPn2EJpvHDy84PEZ","EM XINH ""SAY HI"", Orange, Mỹ Mỹ, 52Hz, Châu Bùi, Pháp Kiều","KHÔNG ĐAU NỮA RỒI","Em Xinh Say Hi",2,176,44,"166003"
194,"spotify:track:2gyJ83K0VJk7Ug1J4Qoaki","GREY D","tựa đầu","Universal Music Indochina Distributed Labels",71,135,4,"164765"
195,"spotify:track:0pavLg3wbL6PVXAgXoWv4S","24k.Right, Ngắn, Hipz","Một Nửa Sự Thật","Universal Music Indochina",119,-1,3,"163825"
196,"spotify:track:1fFvYVg1v3rpUSqKNCUh7b","VCT","Người Bình Thường","Universal Music Indochina Distributed Labels",49,157,56,"163536"
197,"spotify:track:1Up8B0iFpeg5IN2C7gFFNa","Lil Zpoet, Đức Anh","Từ Em Mà Ra","MaiDao Music",162,-1,6,"163429"
198,"spotify:track:6hytdEPX4UcGh91gDBUZDv","Dab, Helinn","Anh Cũng Đâu Có Muốn Tin?","MaiDao Music",147,-1,26,"163425"
199,"spotify:track:2rjjvcCCHF1CdnwptaXyF8","F47 Cover, meChill, Đặng Thanh Tuyền","50 Năm Về Sau","meChill",89,170,12,"162797"
200,"spotify:track:0KmrKOdScRDVYwWS8hkkdv","BTS","FYA","BIGHIT MUSIC",9,165,5,"162437"
