rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
166,"spotify:track:5kJMW3pK49PvQDtpVryHf5","JustaTee","Forget About Her","Spacespeakers",31,-1,40,"175106"
167,"spotify:track:50cmxP6KlnQA9IG3q5ckKD","Chillies","Mascara","WM Vietnam",3,163,227,"173173"
168,"spotify:track:1FUdEz4fX1DxPcVAARlu6A","GREY D","yêu em như…","Universal Music Indochina Distributed Labels",13,123,9,"172774"
169,"spotify:track:3UJ2gSPFPSkPKZghRI8y1e","Dangrangto","Love is","MaiDao Music",10,170,83,"171929"
170,"spotify:track:08ULi904W2Po6pVj8nN7KC","GREY D, Chillies","đưa em về nhàa","Universal Music Indochina Distributed Labels",3,184,159,"171535"
171,"spotify:track:2SykQzXuFSeprST1uDjj1m","AMEE","trời giấu trời mang đi","Yin Yang Media",52,192,87,"171053"
172,"spotify:track:55K3e7BGewGDUJ4ZQwkh7M","Only C","Người Đáng Thương Là Anh","OnlyC Production",131,149,19,"170575"
173,"spotify:track:2OSjnBrQQ0CNKxIUM2GQDk","JustaTee, Binz","Crying Over You","NGUYEN THANH TUAN",173,199,2,"168696"
174,"spotify:track:5xuaCJaNAqRLwV7OO5zPiF","W/N, Duongg, Nâu","3 1 0 7 (feat. Duongg & Nâu)","HONG AN ENTERTAIMENT,.JSC",11,189,291,"167946"
175,"spotify:track:7G7mSV4BebkoHWwKTDvXu9","V, Park Hyo Shin","Winter Ahead (with PARK HYO SHIN)","BIGHIT MUSIC",3,135,68,"167714"
176,"spotify:track:2FnXZhpEKgIab8vI6t2C7e","Shiki, Tyronee","Perfect","12 trái lê",74,164,59,"166766"
177,"spotify:track:5cF0dROlMOK5uNZtivgu50","Charlie Puth","Attention","Artist Partner",21,193,203,"165536"
178,"spotify:track:4YMM05vannAm37Mp1dHK1V","RPT MCK, Trung Trần","Chìm Sâu","abandonh3ll records",1,186,221,"164620"
179,"spotify:track:65st6HfPZyxq1RNTvqSIos","Wren Evans, itsnk","Thu Đợi","Universal Music Indochina Distributed Labels",6,197,22,"164287"
180,"spotify:track:1VyXprVXZYNGWWZf1u4JfN","CORTIS","Blue Lips","Republic Records – CORTIS",59,119,4,"163319"
