rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
145,"spotify:track:5prZw3OHd2UhAq0VBKpqUM","GREY D","mới hôm qua","Universal Music Indochina Distributed Labels",34,148,8,"192254"
146,"spotify:track:3COYA2vgfcUhDyRlVpZy5p","tlinh, Low G","PHÓNG ZÌN ZÌN","M Music Records",4,132,87,"192228"
147,"spotify:track:2aoGg3figtbrChUCZIopCK","Tọi, Long Nón Lá, Phương Nghiêm","Mắt Bão","TECHBEAT Music",147,-1,1,"192016"
148,"spotify:track:3gLRyMbg5nWLcuKD46Uz72","Phương Ly","Anh Là Ai","PHUONG LY",109,149,34,"191318"
149,"spotify:track:55K3e7BGewGDUJ4ZQwkh7M","Only C","Người Đáng Thương Là Anh","OnlyC Production",131,131,18,"191102"
150,"spotify:track:51bYFYWODfYOZU0rwvjiCc","Binz, Đen","Cho Mình Em","Spacespeakers",32,144,130,"190807"
151,"spotify:track:7dlgEjrK3lHbP786dshKDV","ANH TRAI ""SAY HI"", B Ray, AMEE","CHỜ ANH VỀ","Universal Music Indochina Distributed Labels",2,142,24,"190058"
152,"spotify:track:2G5ujw3rrWcAXQqT8PVnrz","Obito, Shiki, Lăng LD","Đầu Đường Xó Chợ","12 trái lê",39,182,82,"190044"
153,"spotify:track:4QNH4OjJ9W10afDYAHi03I","HIEUTHUHAI","Anh Nên Đi Khỏi Đây","M Music Records",36,95,4,"189963"
154,"spotify:track:5wYQC7AuxV8ROALWcbVNxc","Hoàng Dũng, Rhymastic, Lelarec","Giữ Anh Cho Ngày Hôm Qua","Lirico Entertainment",40,156,32,"189449"
155,"spotify:track:42i1d7gos5WvqZIFWCfE7E","Ngô Lan Hương","Có công mài ""Sắc""","Ngô Lan Hương Exclusive",85,184,6,"188067"
156,"spotify:track:0jHpGB1Xt2kIX0VaPFvStp","Tùng TeA, PC, TaynguyenSound","Già Cùng Nhau Là Được","12 trái lê",70,198,146,"187797"
157,"spotify:track:170CNv2CAZn8wg6GxvHXYC","B Ray, AMEE","Ex's Hate Me","B Ray",129,172,29,"187620"
158,"spotify:track:6s3w7SUVtmm68Bw5KrKMh0","BTS","One More Night","BIGHIT MUSIC",21,-1,4,"187614"
159,"spotify:track:6D94p9ASguBcYlDC0o56vx","HIEUTHUHAI","NOLOVENOLIFE","M Music Records",24,136,136,"187199"
160,"spotify:track:2uxjHthUJd2A8PmWaUGGsI","Hoàng Dũng, Hoàng Rob","Chờ Anh Nhé","Lirico Entertainment",99,159,49,"186825"
161,"spotify:track:2GE2p2dFpxp7OIz2QOFBzW","ANH TRAI ""SAY HI"", HURRYKNG, HIEUTHUHAI, Negav, Pháp Kiều, Isaac","KIM PHÚT, KIM GIỜ (feat. HURRYKNG, HIEUTHUHAI, Negav, Pháp Kiều & Isaac)","Anh Trai Say Hi",5,155,82,"186118"
162,"spotify:track:3y66li7DIrH7HLKIZzxR5H","Kai Đinh","Lễ Đường","Yin Yang Media",3,141,62,"185862"
163,"spotify:track:50cmxP6KlnQA9IG3q5ckKD","Chillies","Mascara","WM Vietnam",3,165,226,"183920"
164,"spotify:track:2FnXZhpEKgIab8vI6t2C7e","Shiki, Tyronee","Perfect","12 trái lê",74,170,58,"183586"
