rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
181,"spotify:track:4FT18tLTmf3QNBzG5r6OTj","Đen, Ngọc Linh","Mười Năm (Lộn Xộn 3)","Đen",17,179,131,"169224"
182,"spotify:track:7jLSThU5Kg1RWt19Leiaxm","RPT MCK, Trung Trần","Chìm Sâu","N0L4B3L",1,-1,218,"168645"
183,"spotify:track:6UFvSmKzCZ16fxsybf4PhE","Nguyễn Trọng Tài, Don Raemo, Double X","HONGKONG1","T2B Media",177,189,10,"168603"
184,"spotify:track:5KzRocC5BSxcmR73kP4N1V","HIEUTHUHAI","Đâu Có Ai Nhìn","M Music Records",109,109,2,"168138"
185,"spotify:track:5YPU2SdqR2pOsfFs5AW25q","Rum, NIT","Kém Duyên","Rum",120,-1,6,"167974"
186,"spotify:track:6hytdEPX4UcGh91gDBUZDv","Dab, Helinn","Anh Cũng Đâu Có Muốn Tin?","MaiDao Music",147,194,28,"167912"
187,"spotify:track:3H6nzsPNMttEvUl3ai3xN8","Chillies","Vùng Ký Ức","WM Vietnam",1,183,127,"167840"
188,"spotify:track:527UV7H9SbnmTVkxBVg56X","Sơn Tùng M-TP","Chắc Ai Đó Sẽ Về","Universal Music Indochina Distributed Labels",126,-1,35,"166635"
189,"spotify:track:3f0OEJd7mlPNhmH3fUOrqy","CORTIS","Mention Me - From The Movie ""GOAT""","Mercury Records",63,167,4,"165814"
190,"spotify:track:498g7npirihKT5MPdVSfb0","Hoàng Dũng","Phonecert","CAM, LIRICO",137,173,20,"165633"
191,"spotify:track:5kJMW3pK49PvQDtpVryHf5","JustaTee","Forget About Her","Spacespeakers",31,196,38,"163650"
192,"spotify:track:2kt7udEZmN2kj1Jsl118zY","Wxrdie","0 AI NGHĨ","M Music Records",92,-1,32,"163567"
193,"spotify:track:7AD5F85waSb3yZxZxEXhJM","Tóc Tiên, Touliver","Có Ai Thương Em Như Anh","Yin Yang Media",20,-1,145,"162863"
194,"spotify:track:7J9l9ebYB3IEs5ea5J1M7a","Da LAB, Tóc Tiên","Nước Mắt Em Lau Bằng Tình Yêu Mới","MUNIZ MUSIC COMPANY LIMITED",107,158,115,"161913"
195,"spotify:track:4qYfRfSxsmhJ1WMaywtLyI","Wren Evans, itsnk","Từng Quen","Universal Music Indochina",1,-1,121,"160958"
196,"spotify:track:1Ipu7wzbc2qM7muqszyiZD","Solmee, Dyteller, hoangkiet","Tâm sự","Universal Music Indochina Distributed Labels",143,175,6,"160578"
197,"spotify:track:6uxuJ8Fr1AAfSPJUF9N1yr","Vũ.","Bước Qua Mùa Cô Đơn","WM Vietnam",1,181,270,"160527"
198,"spotify:track:0OB5hTu7ELKeVoD6JVRo6m","Quân A.P, Hải Đăng Doo","Thiên Mệnh","Universal Music Indochina Distributed Labels",96,-1,7,"159792"
199,"spotify:track:0bAmqokpYHnFWAHpzqDOxB","Ân ngờ, Suzie MK, Zer Nguyễn","Nghe kể năm 90s","M Music Records",99,-1,18,"159528"
200,"spotify:track:5cF0dROlMOK5uNZtivgu50","Charlie Puth","Attention","Artist Partner",21,176,200,"159236"
